plant_id,scientific_name,family_id,type_id,description
SHRUB0076,Murraya koenigii (L.) Spreng.,10,2,"A small tree native to tropical Asia, valued for its aromatic leaves used in traditional medicine for digestive and anti-inflammatory benefits."
SHRUB0077,Plumbago zeylanica L.,34,2,"A small shrub native to tropical regions, used in traditional medicine for its digestive and anti-inflammatory properties."
SHRUB0088,Urena lobata L.,28,2,"A small shrub native to tropical regions, known for its medicinal uses in treating digestive and skin conditions."
SHRUB0089,Withania somnifera (L.) Dunal,23,2,"A small shrub native to India, used in traditional medicine for its adaptogenic and anti-inflammatory properties."
TREE0012,Caesalpinia sappan L.,6,3,"A small tree native to tropical regions, used in traditional medicine for its antioxidant and anti-inflammatory properties."
TREE0016,Chloroxylon swietenia DC.,10,3,"A small tree native to tropical regions, used in traditional medicine for its anti-inflammatory and antimicrobial properties."
TREE0024,Citrus aurantifolia (Christm.) Swingle,10,3,"A small citrus tree native to Southeast Asia, valued for its aromatic fruit and use in traditional medicine for digestive and respiratory issues."
TREE0025,Citrus aurantium L.,10,3,"A citrus tree native to the Mediterranean region, known for its tangy fruit and use in traditional medicine for digestive and anti-inflammatory properties."
TREE0026,Citrus grandis (L.) Osbeck.,10,3,"A large citrus tree native to Asia, known for its large, sweet fruit and use in traditional medicine for its digestive and anti-inflammatory benefits."
TREE0027,Citrus medica L.,10,3,"A citrus tree native to the Mediterranean region, valued for its medicinal peel and use in traditional medicine for its digestive and anti-inflammatory effects."
TREE0028,Citrus sinensis (L.) Osbeck.,10,3,"A common citrus tree native to Asia, used in traditional medicine for its digestive and antioxidant properties."
TREE0042,Coffea canephora Pierre ex A.Froehner,18,3,"A small shrub native to tropical Africa, valued for its medicinal seeds used to treat digestive and respiratory issues."
TREE0043,Coffea liberica Bull.,18,3,"A small shrub native to tropical Africa, known for its medicinal seeds used to treat digestive and respiratory issues."
TREE0045,Cordia obliqua Willd.,20,3,"A small tree native to tropical regions, known for its edible fruit and use in traditional medicine for digestive and skin conditions."
TREE0046,Cordia myxa L.,20,3,"A small tree native to tropical regions, used in traditional medicine for its medicinal fruit and digestive benefits."
TREE0059,Eucalyptus globulus Labill.,25,3,"A tall tree native to Australia, valued for its aromatic leaves and use in traditional medicine for respiratory and anti-inflammatory issues."
TREE0060,Ficus carica L.,26,3,"A small tree native to the Mediterranean region, known for its edible fruit and use in traditional medicine for its digestive benefits."
TREE0061,Ficus benghalensis L.,26,3,"A large tree native to tropical regions, known for its extensive aerial roots and use in traditional medicine for its anti-inflammatory properties."
TREE0062,Ficus religiosa L.,26,3,"A large tree native to India, valued for its medicinal leaves and use in traditional medicine for digestive and respiratory issues."
TREE0063,Garcinia mangostana L.,27,3,"A tropical fruit tree native to Southeast Asia, known for its edible fruit and use in traditional medicine for its antioxidant properties."
TREE0073,Melia azedarach L.,32,3,"A small tree native to tropical and subtropical regions, used in traditional medicine for its anti-inflammatory and antimicrobial properties."
TREE0074,Moringa oleifera Lam.,33,3,"A small tree native to tropical regions, valued for its nutritious leaves and use in traditional medicine for its anti-inflammatory and antioxidant benefits."
TREE0078,Punica granatum L.,35,3,"A small tree native to the Mediterranean region, known for its edible fruit and use in traditional medicine for its antioxidant properties."
TREE0081,Santalum album L.,36,3,"A small tree native to tropical Asia, known for its fragrant heartwood and use in traditional medicine for its anti-inflammatory and calming effects."
TREE0084,Syzygium cumini (L.) Skeels,25,3,"A small tree native to tropical regions, known for its edible fruit and use in traditional medicine for its digestive and anti-inflammatory properties."
TREE0085,Terminalia bellirica (Gaertn.) Roxb.,37,3,"A large tree native to tropical Asia, valued for its medicinal fruits used to treat digestive and respiratory issues."
TREE0086,Terminalia chebula Retz.,37,3,"A large tree native to tropical Asia, known for its medicinal fruits used in traditional medicine for its digestive and antioxidant properties."
TREE0091,Ziziphus jujuba Mill.,40,3,"A small tree native to Asia, known for its edible fruit and use in traditional medicine for its digestive and calming properties."
